,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6,attribute_7,attribute_8,attribute_9,attribute_10,attribute_11,attribute_12,attribute_13,attribute_14,attribute_15,attribute_16,attribute_17,attribute_18,attribute_19,attribute_20,attribute_21,attribute_22,attribute_23,attribute_24,attribute_25,attribute_26,attribute_27,attribute_28,attribute_29,attribute_30,attribute_31,attribute_32,attribute_33,attribute_34,attribute_35,attribute_36,attribute_37,attribute_38,attribute_39,attribute_40,attribute_41,attribute_42,attribute_43,attribute_44,attribute_45,attribute_46,attribute_47,attribute_48,attribute_49,attribute_50,attribute_51,attribute_52,attribute_53,attribute_54,attribute_55,attribute_56,attribute_57,attribute_58,attribute_59,attribute_60,Discrimination,Difficulty,Guessing
attribute_11,0.3319533129288223,0.36592253702441674,0.325674996742517,0.29750496756144196,0.1371204819144891,0.24974522948053218,0.3209666137016051,0.5763982153360793,0.7401552301582177,0.8615320908173587,1.0,0.8158220335350327,0.629178664042687,0.41108368312449,0.3126034759422962,0.30069706939561136,0.23240784123708003,0.20776713637012492,0.24444126977110767,0.2641825298502382,0.2421691398615296,0.13145182957333973,-0.048167567810289566,-0.17724656696257754,-0.2749217839879699,-0.27006605817732465,-0.25360049714255795,-0.1896661742578947,-0.2168294447749646,-0.21926085403034512,-0.10981495028574709,-0.12282595254126097,-0.14800136302046063,-0.0971469276704542,-0.14152835133241348,-0.14426833346029266,0.0030737018451976266,0.11304908351188153,0.28718285081619327,0.21571312179407143,-0.09686571608223694,-0.020048378755088376,0.1734595540096588,0.20159480049441783,0.18920832203850582,-0.013162240289496611,0.052569756118987336,0.27942661223862936,0.24979653051274747,0.1467241513252016,0.15832401425914092,0.2018204861758942,0.3880025544643402,0.2319955895060662,0.23544946227437283,0.29043099359334507,0.023408652064826847,0.26094460920995693,0.007377774775749642,0.012954524885160874,-0.26541471374929454,-0.030699739968972743,-0.12533506120441348
attribute_12,0.22629285646274222,0.24935612815561936,0.3207793018549842,0.28878150102446887,0.2276932425038092,0.28925325864981716,0.28755934144485656,0.46490197042383763,0.47076311469246074,0.5474258300229531,0.8158220335350327,1.0,0.8634686936040579,0.5757953268570142,0.3923356853124193,0.37147909548792235,0.3431539520932584,0.3348461031286143,0.368699306817243,0.2992438026105678,0.17183248404968757,0.09960467574439279,-0.06702845879705972,-0.22614101686463103,-0.30011013027660927,-0.35541016759564525,-0.31197693188527903,-0.24307513633597852,-0.25098391075830245,-0.3062255300086804,-0.14870383636540954,-0.13393205926255525,-0.21135727237288313,-0.22347259547824777,-0.3324107464570395,-0.3203955105936957,-0.12048609562504115,-0.010285916486511434,0.13730366635404317,0.09672910041998635,-0.02602066345554872,0.07744257504404099,0.22409014595289548,0.15233269753480286,0.07602337305510816,-0.051831057212907074,0.029089506517007573,0.12540708017445068,0.10617558814270983,0.04590982843036522,0.13023785625940207,0.20150177157349358,0.3569907686693658,0.20264601189629286,0.2854180672296452,0.36563873101175,0.010891746180399963,0.22804481182799777,0.1120793413532231,0.08521721865212002,-0.29525662058957447,-0.0006330032546714009,-0.02645148454027102
attribute_13,0.22347733900836286,0.28089092817869554,0.34479996198101637,0.26053248904599596,0.3159769140648535,0.4027969640736879,0.3507743143713377,0.4050130656570255,0.31732042280845746,0.34196280068161816,0.629178664042687,0.8634686936040579,1.0,0.7975702741817462,0.597837524240875,0.575793281180801,0.5235088090884416,0.4552438162840777,0.4738158513469417,0.3855567677193773,0.22702187988855915,0.1160870996561993,-0.10371414828700336,-0.24842188779704158,-0.30182648849343274,-0.33271345104838385,-0.32066125763605086,-0.29611957472742795,-0.35190784106052253,-0.4184728307442326,-0.20810312086301302,-0.17343629447352027,-0.331343466862291,-0.3306780808336477,-0.3667602504114911,-0.3710934108174191,-0.2577911364826234,-0.1438997085581381,0.018229918845864494,-0.0030128971824942225,-0.07971873118553523,0.08687722068340724,0.19203932817255676,0.08831074009922076,0.061450545669297585,-0.01588075674588233,0.023100592758360208,0.009036155835499106,-8.111876308450985e-05,0.07771018517803843,0.22219564091077568,0.28164142287322286,0.2826765613668553,0.2888062327757541,0.2891734343726641,0.3058214970160636,-0.07476046689120239,0.24351328930750832,0.1558766689501283,0.061274494720162276,-0.3463949049418373,0.12409861957427167,0.05294315517400954
attribute_14,0.24943417860346442,0.27415177990250356,0.36083205125950707,0.3356658773832758,0.41203399171860694,0.41901227978028643,0.4085486375716953,0.4681407158614404,0.2804011193050439,0.22148398185034138,0.41108368312449,0.5757953268570142,0.7975702741817462,1.0,0.9060653897947054,0.856986209995419,0.7220856689926298,0.6188244114145498,0.5894662217442281,0.47172691713726433,0.2875841465132166,0.049667371572940607,-0.17836540733932485,-0.2640863479653446,-0.3724394742532309,-0.4266595877606758,-0.4530408144354686,-0.4858516051280595,-0.5130641843613469,-0.4493367777481424,-0.30363648765755263,-0.34122235153121294,-0.44602500838074405,-0.3503067922449248,-0.2634183293651262,-0.27799430137590175,-0.22003332589005226,-0.14858475965412074,-0.08553518940602989,-0.034242614998378836,-0.09618247841462808,0.039872891248263466,0.028574543408950995,-0.12373935038311991,-0.0075370771659792725,-0.02743220824116384,-0.04597784441939584,-0.059542119992480325,-0.04653016730465464,0.14307473376101681,0.1632491094488718,0.31809541279882064,0.29400057889910447,0.3333821510595392,0.3523734762331555,0.3943563199750475,0.12221894854109788,0.2130375565332107,0.25493254969495716,0.15262454094044456,-0.3321894454345151,0.16170479589949077,0.10532870221993766
attribute_15,0.28390483367813,0.30289381760750284,0.3841145839252078,0.33514545046846617,0.40054290192802794,0.3830904358872928,0.3956088958224551,0.4612940451800229,0.2623279965990527,0.1894506741024616,0.3126034759422962,0.3923356853124193,0.597837524240875,0.9060653897947054,1.0,0.9522601016514497,0.8042469429817796,0.7005148521092128,0.6434342710796854,0.4906418704836157,0.3269521865024482,0.07998379553352433,-0.17588685335693818,-0.23775685717164918,-0.3887877753449418,-0.48347194546392597,-0.5227841647061673,-0.5458052945204792,-0.5417524309541839,-0.4104922256928752,-0.2948598427048003,-0.4113291819452966,-0.5083368996359172,-0.37572566077848124,-0.23932965175716267,-0.27895022331502906,-0.20872390610258826,-0.11231016775605343,-0.09163119802678228,-0.05602811617678847,-0.09573497869911549,-0.02967412296712423,-0.11601591581433375,-0.2753218403372649,-0.10059822406502172,-0.07114143656229123,-0.0228290541032371,-0.031280389754688914,0.0044154409085314,0.20400217840213888,0.13400388937347005,0.2693956876254541,0.19625155532343097,0.30322830746944784,0.3441846494347437,0.3783386054944308,0.2269378399728589,0.2618288764999927,0.2827884575487362,0.15989063834968212,-0.36315711416226953,0.12933821884621738,0.11465701450010307
attribute_16,0.2560426216085258,0.29825000403787627,0.3746360195147926,0.2982926884750724,0.3844212254460844,0.3477059758731415,0.3330435793631511,0.3971325932666954,0.21354766695364963,0.16568001884077307,0.30069706939561136,0.37147909548792235,0.575793281180801,0.856986209995419,0.9522601016514497,1.0,0.9110374838617205,0.7977289232460877,0.7002599392712404,0.48637095859619567,0.32885078179647176,0.12108537466621414,-0.11972473264508657,-0.22624477238113092,-0.388214634263552,-0.49269555763377304,-0.520144440091017,-0.5663022294198748,-0.5771079005547045,-0.46641534202472895,-0.32014340536613384,-0.3973657912836115,-0.5158530294304206,-0.36520901671212536,-0.20207786162436253,-0.23782264327137728,-0.16496292128928886,-0.10931060078798735,-0.10552762379800325,-0.06741613035162242,-0.07677797160888265,-0.01247486317433758,-0.0812876186192511,-0.22422953167990667,-0.0986370715771888,-0.08722293324372297,-0.008468051633532469,-0.02090916199270282,0.024211136836167657,0.1953032001286016,0.11132498099423346,0.2452344416216325,0.17099910024064324,0.2974435657240216,0.3474471165278561,0.34396189867294386,0.20121684984222404,0.2705134426461357,0.2974570268338047,0.1474067784881691,-0.432447335432367,0.04541216685248673,0.023666745056803766
attribute_17,0.23270967131440415,0.17187682216708064,0.3667507407363041,0.30529993542748896,0.3719862015591022,0.24382140513999628,0.16824997298886415,0.19947707015852303,0.06573929580692868,0.05064091041348107,0.23240784123708003,0.3431539520932584,0.5235088090884416,0.7220856689926298,0.8042469429817796,0.9110374838617205,1.0,0.9379189313013855,0.7995658095841061,0.5407206546972535,0.4136753462766518,0.3128472927386157,0.054880375449985176,-0.16306523333646925,-0.312797375144713,-0.4256715104592987,-0.46314075047088904,-0.561715221967301,-0.5979347480106845,-0.5433109297832337,-0.3872619081767821,-0.3895614734633874,-0.4977658498313335,-0.35863035306458885,-0.17409416962871255,-0.20143969433107464,-0.0802025247179444,-0.08749697375554713,-0.1697642473861965,-0.1435901403513561,-0.11928946498860478,-0.04760514369941495,-0.12409516616174535,-0.23542003876910633,-0.14681036449784043,-0.1434437109910226,-0.08438709922285255,-0.11579708289908441,-0.060953781956915525,0.06408287519720311,0.013533317084027134,0.11331737565264255,0.11432465462096889,0.23648882701902432,0.2911333253939722,0.3017931093783973,0.11021341772670289,0.2519548812726518,0.28231407377625956,0.12866508767711518,-0.4394201386478833,-0.14973317679442524,-0.14112594617507618
attribute_18,0.1848782329836287,0.03357443810778036,0.33388031572330046,0.3224497307203232,0.37273800825034764,0.15887155635133404,0.07960328584326683,0.09611526636401968,-0.0050603219534195295,0.017033466294000404,0.20776713637012492,0.3348461031286143,0.4552438162840777,0.6188244114145498,0.7005148521092128,0.7977289232460877,0.9379189313013855,1.0,0.8982501853473405,0.6564820523266347,0.48412644903233104,0.36852537939097163,0.1306010395547452,-0.1090003272229151,-0.24202528062566597,-0.3838300186899566,-0.44954114464169664,-0.5798664485247722,-0.6135209897285421,-0.5608329376539644,-0.42995550649557995,-0.41517709867804964,-0.451101691736094,-0.29667776389482375,-0.16110453927708093,-0.18078069689020548,-0.023436331764828795,-0.022355490068652128,-0.1080522319888851,-0.0930313130763645,-0.1616949532690138,-0.10797162539519974,-0.20376784705872514,-0.300098716101286,-0.2667652692596657,-0.28832267600829037,-0.23770015459943974,-0.2355329189207054,-0.18014310811078293,-0.10018215399280309,-0.14684878044834165,0.01167265827413851,0.06761482947433368,0.17266540401508323,0.2697103210204313,0.29989233130287785,0.06388152588936301,0.1796884709072755,0.2312861463932704,0.12985132187725076,-0.413808689496839,-0.21619659535552024,-0.17319523142108584
attribute_19,0.23180499371296487,0.1301913536880213,0.3608856658132863,0.34911758538290816,0.4421020894596153,0.13920661341700657,0.05348167161267739,0.09919331402632942,0.03381299123211502,0.05414955474626573,0.24444126977110767,0.368699306817243,0.4738158513469417,0.5894662217442281,0.6434342710796854,0.7002599392712404,0.7995658095841061,0.8982501853473405,1.0,0.8744820329178753,0.6766561329099173,0.4508470774442181,0.15637519280453857,-0.08519846409487875,-0.25256284886213237,-0.3846661141771211,-0.42680732789104914,-0.5497305704177587,-0.5755741352566115,-0.503405175788585,-0.48770385021782753,-0.48337336468872605,-0.45797880190801293,-0.2603232825638575,-0.2019480558391892,-0.2062630990453116,-0.02363914491891849,0.043394846077202974,0.04038994057424333,0.010774044062196626,-0.11191806766966375,-0.033529830836807654,-0.13704043051068784,-0.24617275168529756,-0.18339481075597938,-0.20771406185292254,-0.1880753007745775,-0.2323624841482889,-0.1681551636503488,-0.055277761072471995,-0.022788848920391517,0.11570384556226233,0.13547176861894508,0.24737105173449805,0.31033349358810125,0.33363177445734327,0.06791665435654862,0.17681097281060035,0.1821062204644607,0.07287676157591112,-0.387454686322964,-0.20074910850504946,-0.1999695304986528
attribute_20,0.25565109204489583,0.14586940224125122,0.27312870006888096,0.29389871335063733,0.3485601820017262,0.06573998096425171,-0.00844685309663881,0.08905915319434828,0.12614890584203317,0.14277870217257058,0.2641825298502382,0.2992438026105678,0.3855567677193773,0.47172691713726433,0.4906418704836157,0.48637095859619567,0.5407206546972535,0.6564820523266347,0.8744820329178753,1.0,0.8771346971286781,0.4961092292391128,0.12847770037530304,-0.08168244299056045,-0.21133506912776887,-0.3117496706274714,-0.4141029546995896,-0.4876093025970921,-0.4619778730129845,-0.3826357149364313,-0.5119950793032791,-0.5089750353680782,-0.35890321416451954,-0.08632549379646455,-0.13155063891408603,-0.12783915931582415,0.02544861698454698,0.15220221184133254,0.21107577923577084,0.13719313260994634,-0.13050777963704835,-0.06234664732961096,-0.11824579482474167,-0.18781506240895948,-0.06873228242512487,-0.13391054312759193,-0.22361417305139425,-0.24115827449678123,-0.20834676662101748,-0.02566875056743963,-0.01774750309570829,0.10857335267285363,0.1869481861118838,0.2491093337585365,0.3413785447007469,0.3411553113135742,0.053061563071809065,0.05838060660858219,-0.045621753906770195,-0.058341777364771474,-0.27004540085717305,-0.12855018334485913,-0.11802345202568418
attribute_21,0.2502862190010932,0.1405278244830144,0.19621080420223772,0.24457098469215316,0.26639007809684456,0.025001499190753375,-0.014057038666622059,0.059755024675067006,0.1306446159613162,0.17959555626816687,0.2421691398615296,0.17183248404968757,0.22702187988855915,0.2875841465132166,0.3269521865024482,0.32885078179647176,0.4136753462766518,0.48412644903233104,0.6766561329099173,0.8771346971286781,1.0,0.7199815893248882,0.30228733726588397,0.11074784930181392,0.0025162710522347717,-0.11234879598296836,-0.24989537658785568,-0.29903663583063317,-0.34180895232748587,-0.32980572386607904,-0.5414852518938514,-0.5573000275137401,-0.4348058101643961,-0.14059072676102619,-0.11624664329297851,-0.11790505937064544,-0.004832453553396741,0.10516732601616914,0.1422037185410754,0.06144839824022481,-0.1954306818835097,-0.13482248065877947,-0.1416914903443117,-0.1759417128236987,-0.034328481619021176,-0.10316732912384131,-0.215381737200302,-0.21739638624590402,-0.1974276688220818,-0.006246154506205856,-0.012587362292178553,1.8541622508050954e-05,0.1446546603488093,0.26470880746452075,0.24085244977194947,0.3012098519261261,0.04099335999774361,-0.04087322786348788,-0.0804340615759962,-0.04681690578597238,-0.1775142973000394,-0.07686158053763051,-0.13578562407688638
attribute_22,0.04223543112879518,-0.0672399116181868,0.12513224669073442,0.14486015979791683,0.24615989889163212,-0.01207940414094431,-0.17353808488886285,-0.13074090138435493,-0.12419599209653856,-0.015805119767286636,0.13145182957333973,0.09960467574439279,0.1160870996561993,0.049667371572940607,0.07998379553352433,0.12108537466621414,0.3128472927386157,0.36852537939097163,0.4508470774442181,0.4961092292391128,0.7199815893248882,1.0,0.8202837126843041,0.6152374241566558,0.45609982944766736,0.25936053917635965,0.1575483028917406,0.004509264901722411,-0.1748962437088841,-0.3047345336702213,-0.38079565845393754,-0.4058462020453888,-0.4124046365115445,-0.3394689444290899,-0.26987236248039326,-0.2280277932425198,-0.1479518160325616,-0.21201270451142257,-0.23516914463053146,-0.2405143518119088,-0.26752379057980463,-0.18315260816878506,-0.18245754049265428,-0.20794875339397131,-0.12260178888797423,-0.16871742528949732,-0.1407985639326936,-0.21835262920084517,-0.20930866498583026,-0.17111358130028453,-0.08965161818389672,-0.15893151081692466,-0.07882246895698947,0.12988221379415427,-0.09709891886795086,0.05247402569336512,-0.10552060710868473,-0.17568310973458812,-0.0024639428665031615,-0.08093866165976515,-0.07713523825621438,-0.19870581062449344,-0.31169367684149885
